esteban_ray,post,tem_4g,post_x_4g,tem_3g,anos_3g,codigo_tse
0.0494647180425911,0,0,0,1.0,8.747433264887064,11479
0.039190853162962,0,0,0,1.0,6.250513347022587,11495
0.0319322915215616,0,0,0,1.0,8.999315537303216,11517
0.043032419422802,0,1,0,1.0,16.16700889801506,11576
0.0491686458380844,0,1,0,1.0,2.4996577686516086,11630
0.0638381847475663,0,1,0,1.0,18.915811088295687,11673
0.0340404349908316,0,1,0,1.0,0.5010266940451745,11690
0.0375175751942314,0,1,0,1.0,8.501026694045175,11711
0.0589213654360115,0,0,0,1.0,9.500342231348393,11738
0.0400938669277507,0,1,0,1.0,18.0807665982204,11754
0.0527945050776625,0,0,0,1.0,8.501026694045175,11770
0.0661908308110345,0,0,0,1.0,9.500342231348393,11797
0.0452330436646166,0,0,0,0.0,0.0,11819
