codigo_tse,sigla_partido,votos
10740,NOVO,21
10740,PATRI,14
10740,PDT,194
10740,PODE,3
10740,PPL,1
10740,PSDB,125
10740,PSL,440
10740,PSOL,6
10740,PT,2596
10740,REDE,12
10758,DC,1
10758,MDB,50
10758,NOVO,11
10758,PATRI,41
10758,PDT,260
10758,PODE,3
10758,PSDB,34
10758,PSL,285
10758,PSOL,1
10758,PT,2079
10758,REDE,9
10766,DC,4
10766,MDB,29
10766,NOVO,3
10766,PATRI,23
10766,PDT,223
10766,PODE,2
10766,PSDB,72
10766,PSL,378
10766,PSOL,3
10766,PSTU,3
10766,PT,2981
10766,REDE,11
10774,DC,16
10774,MDB,273
10774,NOVO,279
10774,PATRI,218
10774,PDT,4204
10774,PODE,89
10774,PPL,4
10774,PSDB,768
10774,PSL,6953
10774,PSOL,120
10774,PSTU,8
10774,PT,19138
10774,REDE,181
10782,MDB,45
10782,NOVO,10
10782,PATRI,14
10782,PDT,373
10782,PODE,6
10782,PSDB,52
10782,PSL,444
10782,PSOL,15
10782,PSTU,2
10782,PT,3355
10782,REDE,13
10790,DC,1
10790,MDB,29
10790,NOVO,11
10790,PATRI,3
10790,PDT,182
10790,PODE,5
10790,PSDB,41
10790,PSL,395
10790,PSOL,5
10790,PSTU,1
10790,PT,2334
10790,REDE,9
10804,DC,2
10804,MDB,20
10804,PATRI,12
10804,PDT,89
10804,PODE,2
10804,PSDB,14
10804,PSL,58
10804,PSOL,1
10804,PSTU,1
10804,PT,2785
10804,REDE,3
10812,MDB,25
10812,NOVO,16
10812,PATRI,16
10812,PDT,315
10812,PODE,6
10812,PSDB,29
10812,PSL,313
10812,PSOL,6
10812,PSTU,1
10812,PT,2238
10812,REDE,13
01082,DC,4
01082,MDB,236
01082,NOVO,1
01082,PATRI,28
01082,PDT,280
01082,PODE,24
01082,PPL,3
01082,PSDB,1046
01082,PSL,4371
01082,PSOL,22
01082,PSTU,1
01082,PT,2072
01082,REDE,63
10820,DC,3
10820,MDB,46
10820,NOVO,8
10820,PATRI,38
10820,PDT,456
10820,PODE,5
10820,PPL,1
10820,PSDB,117
10820,PSL,949
10820,PSOL,22
10820,PSTU,4
10820,PT,4164
10820,REDE,53
10839,DC,2
10839,MDB,36
10839,NOVO,32
10839,PATRI,29
10839,PDT,908
10839,PODE,13
10839,PSDB,136
10839,PSL,733
10839,PSOL,8
